BookingCode;BookingDate;FlightDate;FlightNumber;BookedSeats;RevenueActualFare;Ancillary Revenue,,
PNR0001;08.02.2020 00:00;10.04.2023;EW9443;2;430;20,,
PNR0002;13.02.2020 00:00;09.04.2023;EW9587;5;525;137,,
PNR0003;18.02.2020 00:00;08.04.2023;EW7580;2;370;72,,
PNR0004;27.03.2020 00:00;06.04.2023;EW7580;4;629;115,,
PNR0005;04.04.2020 00:00;10.04.2023;EW9591;2;449;47,,
PNR0006;10.07.2020 00:00;12.04.2023;EW9574;2;150;68,,
PNR0007;13.04.2021 00:00;10.04.2023;EW521;4;722;115,,
PNR0008;29.04.2021 00:00;10.04.2023;EW9581;2;500;64,,
PNR0009;09.06.2021 00:00;10.04.2023;EW9539;2;430;84,,
PNR0010;06.07.2021 00:00;06.04.2023;EW7580;1;185;129,,
PNR0011;25.07.2021 00:00;08.04.2023;EW9575;2;261;70,,
PNR0012;05.08.2021 00:00;08.04.2023;EW581;1;145;15,,
PNR0013;20.09.2021 00:00;10.04.2023;EW7266;3;686;165,,
PNR0014;23.09.2021 00:00;11.04.2023;EW581;1;145;61,,
PNR0015;30.09.2021 00:00;12.04.2023;EW9580;1;75;24,,
PNR0016;11.10.2021 00:00;08.04.2023;EW9588;2;210;42,,
PNR0017;14.10.2021 00:00;08.04.2023;EW590;1;105;15,,
PNR0018;14.10.2021 00:00;08.04.2023;EW590;1;105;15,,
PNR0019;25.10.2021 00:00;07.04.2023;EW9445;2;260;58,,
PNR0020;09.11.2021 00:00;06.04.2023;EW587;1;175;38,,
PNR0021;18.11.2021 00:00;10.04.2023;EW9440;1;130;11,,
PNR0022;26.11.2021 00:00;11.04.2023;EW7541;2;290;94,,
PNR0023;05.12.2021 00:00;06.04.2023;EW7588;1;150;18,,
PNR0023;05.12.2021 00:00;12.04.2023;EW7583;1;185;29,,
PNR0024;13.12.2021 00:00;06.04.2023;EW7590;2;387;130,,
PNR0025;23.12.2021 00:00;08.04.2023;EW9595;4;630;116,,
PNR0026;30.12.2021 00:00;12.04.2023;EW583;4;580;148,,
PNR0027;31.12.2021 00:00;06.04.2023;EW9578;1;145;33,,
PNR0028;06.01.2022 00:00;08.04.2023;EW9530;3;224;99,,
PNR0029;09.01.2022 00:00;12.04.2023;EW7515;1;130;46,,
PNR0030;11.01.2022 00:00;08.04.2023;EW9555;1;245;43,,
PNR0031;16.01.2022 00:00;09.04.2023;EW9533;2;220;91,,
PNR0032;18.01.2022 00:00;09.04.2023;EW7086;2;290;94,,
PNR0033;29.01.2022 00:00;08.04.2023;EW9581;3;435;261,,
PNR0034;30.01.2022 00:00;12.04.2023;EW9575;1;145;41,,
PNR0035;30.01.2022 00:00;07.04.2023;EW9574;1;250;17,,
PNR0036;31.01.2022 00:00;07.04.2023;EW7582;4;540;78,,
PNR0037;01.02.2022 00:00;06.04.2023;EW8180;1;125;91,,
PNR0038;06.02.2022 00:00;08.04.2023;EW586;4;361;141,,
PNR0039;07.02.2022 00:00;09.04.2023;EW586;1;145;38,,
PNR0040;11.02.2022 00:00;10.04.2023;EW9594;2;150;50,,
PNR0041;13.02.2022 00:00;11.04.2023;EW7589;2;430;72,,
PNR0042;13.02.2022 00:00;09.04.2023;EW587;1;18;10,,
PNR0043;13.02.2022 00:00;07.04.2023;EW2592;2;600;124,,
PNR0043;13.02.2022 00:00;11.04.2023;EW2585;2;330;124,,
PNR0044;14.02.2022 00:00;07.04.2023;EW7266;2;740;219,,
PNR0045;15.02.2022 00:00;10.04.2023;EW9594;2;150;34,,
PNR0046;17.02.2022 00:00;11.04.2023;EW6899;1;95;47,,
PNR0047;19.02.2022 00:00;12.04.2023;EW9531;2;430;29,,
PNR0048;23.02.2022 00:00;12.04.2023;EW593;1;145;18,,
PNR0049;24.02.2022 00:00;12.04.2023;EW268;2;250;28,,
PNR0050;26.02.2022 00:00;09.04.2023;EW526;3;315;29,,
PNR0051;01.03.2022 00:00;12.04.2023;EW9542;2;250;178,,
PNR0052;02.03.2022 00:00;08.04.2023;EW7527;4;1188;226,,
PNR0053;04.03.2022 00:00;08.04.2023;EW9581;2;250;119,,
PNR0054;05.03.2022 00:00;07.04.2023;EW8291;2;490;190,,
PNR0055;06.03.2022 00:00;07.04.2023;EW268;1;205;50,,
PNR0056;06.03.2022 00:00;09.04.2023;EW9533;1;275;41,,
PNR0057;07.03.2022 00:00;12.04.2023;EW583;3;54;30,,
PNR0058;09.03.2022 00:00;12.04.2023;EW7267;1;245;54,,
PNR0059;09.03.2022 00:00;10.04.2023;EW9536;3;330;117,,
PNR0060;11.03.2022 00:00;12.04.2023;EW9551;2;260;66,,
PNR0061;11.03.2022 00:00;12.04.2023;EW9592;2;130;36,,
PNR0062;11.03.2022 00:00;12.04.2023;EW9570;2;170;78,,
PNR0063;13.03.2022 00:00;12.04.2023;EW7589;1;265;38,,
PNR0064;13.03.2022 00:00;06.04.2023;EW7527;2;400;108,,
