BookingID;Customer Group;Sales Group
PNR0001;OTA;Direct Connect
PNR0002;OTA;Direct Connect
PNR0003;OTA;Direct Connect
PNR0004;EndCustomer;Web
PNR0005;OTA;Direct Connect
PNR0006;EndCustomer;Web
PNR0007;EndCustomer;Web
PNR0008;EndCustomer;Web
PNR0009;EndCustomer;Web
PNR0010;EndCustomer;Web
PNR0011;OTA;Direct Connect
PNR0012;OTA;Direct Connect
PNR0013;EndCustomer;Web
PNR0014;EndCustomer;Web
PNR0015;EndCustomer;Web
PNR0016;EndCustomer;Web
PNR0017;EndCustomer;Web
PNR0018;EndCustomer;Web
PNR0019;EndCustomer;Web
PNR0020;EndCustomer;Web
PNR0021;EndCustomer;Web
PNR0022;EndCustomer;Web
PNR0023;EndCustomer;Web
PNR0024;EndCustomer;Web
PNR0025;EndCustomer;Web
PNR0026;EndCustomer;Web
PNR0027;EndCustomer;Web
PNR0028;EndCustomer;Web
PNR0029;EndCustomer;Web
PNR0030;EndCustomer;Web
PNR0031;EndCustomer;Web
PNR0032;EndCustomer;Web
PNR0033;EndCustomer;Web
PNR0034;EndCustomer;Web
PNR0035;EndCustomer;Web
PNR0036;OTA;Direct Connect
PNR0037;EndCustomer;Web
PNR0038;EndCustomer;Web
PNR0039;EndCustomer;Web
PNR0040;EndCustomer;Web
PNR0041;EndCustomer;Web
PNR0042;EndCustomer;Web
PNR0043;EndCustomer;Web
PNR0044;EndCustomer;Web
PNR0045;EndCustomer;Web
PNR0046;EndCustomer;Web
PNR0047;EndCustomer;Web
PNR0048;EndCustomer;Web
PNR0049;EndCustomer;Web
PNR0050;OTA;Direct Connect
PNR0051;EndCustomer;Web
PNR0052;EndCustomer;Web
PNR0053;EndCustomer;Web
PNR0054;EndCustomer;Web
PNR0055;EndCustomer;Web
PNR0056;EndCustomer;Web
PNR0057;EndCustomer;Web
PNR0058;EndCustomer;Web
PNR0059;EndCustomer;Web
PNR0060;EndCustomer;Web
PNR0061;EndCustomer;Web
PNR0062;EndCustomer;Web
PNR0063;EndCustomer;Web
PNR0064;EndCustomer;Web
PNR0065;EndCustomer;Web
PNR0066;EndCustomer;Web
PNR0067;EndCustomer;Web
PNR0068;EndCustomer;Web
PNR0069;EndCustomer;Web
PNR0070;EndCustomer;Web
PNR0071;EndCustomer;Web
PNR0072;EndCustomer;Web
PNR0073;EndCustomer;Web
PNR0074;EndCustomer;Web
PNR0075;OTA;Direct Connect
PNR0076;EndCustomer;Web
PNR0077;EndCustomer;Web
PNR0078;EndCustomer;Web
PNR0079;EndCustomer;Web
PNR0080;EndCustomer;Web
PNR0081;EndCustomer;Web
PNR0082;EndCustomer;Web
PNR0083;EndCustomer;Web
PNR0084;EndCustomer;Web
PNR0085;EndCustomer;Web
PNR0086;EndCustomer;Web
PNR0087;EndCustomer;Web
PNR0088;EndCustomer;Web
PNR0089;EndCustomer;Web
PNR0090;EndCustomer;Web
PNR0091;EndCustomer;Web
PNR0092;EndCustomer;Web
PNR0093;OTA;Direct Connect
PNR0094;EndCustomer;Web
PNR0095;EndCustomer;Web
PNR0096;EndCustomer;Web
PNR0097;Travel Agencies;Web
PNR0098;EndCustomer;Web
PNR0099;EndCustomer;Web
PNR0100;EndCustomer;Web
PNR0101;EndCustomer;Web
PNR0102;EndCustomer;Web
PNR0103;EndCustomer;Web
PNR0104;EndCustomer;Web
PNR0105;OTA;Direct Connect
PNR0106;EndCustomer;Web
PNR0107;EndCustomer;Web
PNR0108;EndCustomer;Web
PNR0109;EndCustomer;Web
PNR0110;EndCustomer;Web
PNR0111;EndCustomer;Web
PNR0112;OTA;Direct Connect
PNR0113;EndCustomer;Web
PNR0114;EndCustomer;Web
PNR0115;EndCustomer;Web
PNR0116;EndCustomer;Web
PNR0117;EndCustomer;Web
PNR0118;EndCustomer;Web
PNR0119;EndCustomer;Web
PNR0120;EndCustomer;Web
PNR0121;EndCustomer;Web
PNR0122;EndCustomer;Web
PNR0123;EndCustomer;Web
PNR0124;EndCustomer;Web
PNR0125;EndCustomer;Web
PNR0126;EndCustomer;Web
PNR0127;EndCustomer;Web
PNR0128;EndCustomer;Web
PNR0129;EndCustomer;Web
PNR0130;EndCustomer;Web
PNR0131;EndCustomer;Web
PNR0132;EndCustomer;Web
PNR0133;EndCustomer;Web
PNR0134;EndCustomer;Web
PNR0135;EndCustomer;Web
PNR0136;Travel Agencies;Web
PNR0137;EndCustomer;Web
PNR0138;Travel Agencies;GDS
PNR0139;EndCustomer;Web
PNR0140;EndCustomer;Web
PNR0141;Corporates;Direct Connect
PNR0142;EndCustomer;Web
PNR0143;EndCustomer;Web
PNR0144;EndCustomer;Web
PNR0145;EndCustomer;Web
PNR0146;EndCustomer;Web
PNR0147;EndCustomer;Web
PNR0148;EndCustomer;Web
PNR0149;EndCustomer;Web
PNR0150;Travel Agencies;Direct Connect
PNR0151;EndCustomer;Web
PNR0152;EndCustomer;Web
PNR0153;EndCustomer;Web
PNR0154;EndCustomer;Web
PNR0155;EndCustomer;Web
PNR0156;EndCustomer;Web
PNR0157;EndCustomer;Web
PNR0158;EndCustomer;Web
PNR0159;EndCustomer;Web
PNR0160;EndCustomer;Web
PNR0161;EndCustomer;Web
PNR0162;EndCustomer;Web
PNR0163;Travel Agencies;GDS
PNR0164;EndCustomer;Web
PNR0165;EndCustomer;Web
PNR0166;EndCustomer;Web
PNR0167;EndCustomer;Web
PNR0168;EndCustomer;Web
PNR0169;EndCustomer;Web
PNR0170;EndCustomer;Web
PNR0171;EndCustomer;Web
PNR0172;EndCustomer;Web
PNR0173;EndCustomer;Web
PNR0174;EndCustomer;Web
PNR0175;OTA;Direct Connect
PNR0176;EndCustomer;Web
PNR0177;EndCustomer;Web
PNR0178;EndCustomer;Web
PNR0179;EndCustomer;Web
PNR0180;EndCustomer;Web
PNR0181;EndCustomer;Web
PNR0182;Travel Agencies;GDS
PNR0183;EndCustomer;Web
PNR0184;EndCustomer;Web
PNR0185;EndCustomer;Web
PNR0186;EndCustomer;Web
PNR0187;EndCustomer;Web
PNR0188;EndCustomer;Web
PNR0189;EndCustomer;Web
PNR0190;EndCustomer;Web
PNR0191;OTA;Direct Connect
PNR0192;EndCustomer;Web
PNR0193;EndCustomer;Web
PNR0194;EndCustomer;Web
PNR0195;EndCustomer;Web
PNR0196;EndCustomer;Web
PNR0197;EndCustomer;Web
PNR0198;EndCustomer;Web
PNR0199;Corporates;Direct Connect
PNR0200;EndCustomer;Web
PNR0201;EndCustomer;Web
PNR0202;EndCustomer;Web
PNR0203;EndCustomer;Web
PNR0204;EndCustomer;Web
PNR0205;EndCustomer;Web
PNR0206;EndCustomer;Web
PNR0207;EndCustomer;Web
PNR0208;EndCustomer;Web
PNR0209;EndCustomer;Web
PNR0210;EndCustomer;Web
PNR0211;EndCustomer;Web
PNR0212;EndCustomer;Web
PNR0213;EndCustomer;Web
PNR0214;EndCustomer;Web
PNR0215;EndCustomer;Web
PNR0216;EndCustomer;Web
PNR0217;EndCustomer;Web
PNR0218;EndCustomer;Web
PNR0219;EndCustomer;Web
PNR0220;EndCustomer;Web
PNR0221;EndCustomer;Web
